relative_im_path,bbox_x1,bbox_y1,bbox_x2,bbox_y2,class,test
car_ims/000001.jpg,112,7,853,717,0,0
car_ims/000002.jpg,48,24,441,202,0,0
car_ims/000003.jpg,7,4,277,180,0,0
car_ims/000004.jpg,33,50,197,150,0,0
car_ims/000005.jpg,5,8,83,58,0,0
car_ims/000006.jpg,10,6,250,110,0,0
car_ims/000007.jpg,56,1,394,176,0,0
car_ims/000008.jpg,1,13,113,83,0,0
car_ims/000009.jpg,15,111,271,272,0,0
car_ims/000010.jpg,14,18,148,107,0,0
car_ims/000011.jpg,5,8,91,59,0,0
car_ims/000012.jpg,29,18,157,86,0,0
car_ims/000013.jpg,1,1,300,179,0,0
car_ims/000014.jpg,9,1,152,103,0,0
car_ims/000015.jpg,4,15,94,63,0,0
car_ims/000016.jpg,12,16,117,71,0,0
car_ims/000017.jpg,1,5,160,89,0,0
car_ims/000018.jpg,46,84,661,428,0,0
car_ims/000019.jpg,86,81,371,252,0,0
car_ims/000020.jpg,26,32,677,418,0,0
car_ims/000021.jpg,50,127,587,396,0,0
car_ims/000022.jpg,6,9,124,89,0,0
car_ims/000023.jpg,52,25,751,507,0,0
car_ims/000024.jpg,3,23,132,98,0,0
car_ims/000025.jpg,60,76,593,393,0,0
car_ims/000026.jpg,21,18,492,316,0,0
car_ims/000027.jpg,11,31,490,266,0,0
car_ims/000028.jpg,8,3,135,86,0,0
car_ims/000029.jpg,30,65,331,199,0,0
car_ims/000030.jpg,5,14,93,58,0,0
car_ims/000031.jpg,125,645,1845,1421,0,0
car_ims/000032.jpg,20,48,385,283,0,0
car_ims/000033.jpg,51,73,570,426,0,0
car_ims/000034.jpg,79,469,1537,1198,0,0
car_ims/000035.jpg,18,18,328,190,0,0
car_ims/000036.jpg,13,235,2021,1253,0,0
car_ims/000037.jpg,6,20,123,88,0,0
car_ims/000038.jpg,26,25,283,157,0,0
car_ims/000039.jpg,61,98,458,376,0,0
car_ims/000040.jpg,111,213,907,683,0,0
car_ims/000041.jpg,178,214,901,658,0,0
car_ims/000042.jpg,9,14,490,368,0,0
car_ims/000043.jpg,28,48,663,302,0,0
car_ims/000044.jpg,4,9,96,88,0,0
car_ims/000045.jpg,6,7,94,68,0,0
car_ims/000046.jpg,14,16,268,169,0,1
car_ims/000047.jpg,10,18,89,61,0,1
car_ims/000048.jpg,111,54,365,190,0,1
car_ims/000049.jpg,9,33,479,276,0,1
car_ims/000050.jpg,9,3,93,41,0,1
car_ims/000051.jpg,15,10,128,76,0,1
car_ims/000052.jpg,11,60,796,535,0,1
car_ims/000053.jpg,92,93,585,399,0,1
car_ims/000054.jpg,5,9,87,61,0,1
car_ims/000055.jpg,8,5,85,69,0,1
car_ims/000056.jpg,70,94,439,341,0,1
car_ims/000057.jpg,87,6,552,348,0,1
car_ims/000058.jpg,28,14,118,80,0,1
car_ims/000059.jpg,11,8,106,80,0,1
car_ims/000060.jpg,53,108,544,413,0,1
car_ims/000061.jpg,31,12,270,160,0,1
car_ims/000062.jpg,4,13,145,109,0,1
car_ims/000063.jpg,8,12,135,83,0,1
car_ims/000064.jpg,11,16,135,93,0,1
car_ims/000065.jpg,28,117,415,274,0,1
car_ims/000066.jpg,45,39,729,414,0,1
car_ims/000067.jpg,3,3,639,480,0,1
car_ims/000068.jpg,18,30,133,93,0,1
car_ims/000069.jpg,24,141,721,396,0,1
car_ims/000070.jpg,31,20,226,119,0,1
car_ims/000071.jpg,17,23,240,135,0,1
car_ims/000072.jpg,6,20,137,73,0,1
car_ims/000073.jpg,111,177,920,642,0,1
car_ims/000074.jpg,32,69,487,316,0,1
car_ims/000075.jpg,2,7,102,57,0,1
car_ims/000076.jpg,26,62,763,504,0,1
car_ims/000077.jpg,46,115,623,469,0,1
car_ims/000078.jpg,25,123,589,421,0,1
car_ims/000079.jpg,20,79,654,425,0,1
car_ims/000080.jpg,5,14,160,114,0,1
car_ims/000081.jpg,62,73,718,441,0,1
car_ims/000082.jpg,5,4,136,87,0,1
car_ims/000083.jpg,67,98,283,213,0,1
car_ims/000084.jpg,40,60,354,237,0,1
car_ims/000085.jpg,12,18,113,78,0,1
car_ims/000086.jpg,26,72,774,480,0,1
car_ims/000087.jpg,24,1,368,199,0,1
car_ims/000088.jpg,2,13,160,120,0,1
car_ims/000089.jpg,11,13,84,60,0,1
car_ims/000090.jpg,434,441,1805,1126,1,0
car_ims/000091.jpg,104,183,842,608,1,0
car_ims/000092.jpg,7,133,716,444,1,0
car_ims/000093.jpg,8,29,444,213,1,0
car_ims/000094.jpg,150,102,877,444,1,0
car_ims/000095.jpg,139,416,1954,1149,1,0
car_ims/000096.jpg,2,24,288,129,1,0
car_ims/000097.jpg,115,63,817,324,1,0
car_ims/000098.jpg,84,189,573,376,1,0
car_ims/000099.jpg,13,256,769,532,1,0
car_ims/000100.jpg,30,16,430,215,1,0
car_ims/000101.jpg,32,32,438,394,1,0
car_ims/000102.jpg,16,115,445,269,1,0
car_ims/000103.jpg,34,53,270,139,1,0
car_ims/000104.jpg,179,177,753,452,1,0
car_ims/000105.jpg,68,93,440,317,1,0
car_ims/000106.jpg,139,172,690,431,1,0
car_ims/000107.jpg,60,166,614,425,1,0
car_ims/000108.jpg,8,37,294,150,1,0
car_ims/000109.jpg,36,40,261,174,1,0
car_ims/000110.jpg,130,10,839,346,1,0
car_ims/000111.jpg,23,134,619,349,1,0
car_ims/000112.jpg,45,22,745,514,1,0
car_ims/000113.jpg,10,34,242,126,1,0
car_ims/000114.jpg,18,63,445,267,1,0
car_ims/000115.jpg,56,95,627,368,1,0
car_ims/000116.jpg,73,163,674,401,1,0
car_ims/000117.jpg,97,49,455,326,1,0
car_ims/000118.jpg,45,68,426,253,1,0
car_ims/000119.jpg,20,16,449,300,1,0
car_ims/000120.jpg,38,92,420,241,1,0
car_ims/000121.jpg,18,141,603,367,1,0
car_ims/000122.jpg,108,147,675,434,1,1
car_ims/000123.jpg,85,43,731,324,1,1
car_ims/000124.jpg,208,97,909,447,1,1
car_ims/000125.jpg,24,55,588,405,1,1
car_ims/000126.jpg,27,82,618,400,1,1
car_ims/000127.jpg,97,7,888,336,1,1
car_ims/000128.jpg,24,38,427,277,1,1
car_ims/000129.jpg,30,11,269,196,1,1
car_ims/000130.jpg,51,51,441,289,1,1
car_ims/000131.jpg,186,151,459,347,1,1
car_ims/000132.jpg,56,114,638,448,1,1
car_ims/000133.jpg,12,33,292,171,1,1
car_ims/000134.jpg,2,104,300,203,1,1
car_ims/000135.jpg,32,96,565,362,1,1
car_ims/000136.jpg,29,55,279,177,1,1
car_ims/000137.jpg,14,98,536,299,1,1
car_ims/000138.jpg,73,84,516,306,1,1
car_ims/000139.jpg,42,103,451,277,1,1
car_ims/000140.jpg,41,161,449,337,1,1
car_ims/000141.jpg,76,111,580,458,1,1
car_ims/000142.jpg,51,90,460,247,1,1
car_ims/000143.jpg,129,32,861,602,1,1
car_ims/000144.jpg,13,82,691,432,1,1
car_ims/000145.jpg,13,165,583,417,1,1
car_ims/000146.jpg,28,27,397,217,1,1
car_ims/000147.jpg,214,492,1345,967,1,1
car_ims/000148.jpg,115,322,1085,674,1,1
car_ims/000149.jpg,129,213,899,614,1,1
car_ims/000150.jpg,11,87,470,268,1,1
car_ims/000151.jpg,37,30,292,190,1,1
car_ims/000152.jpg,85,245,713,472,1,1
car_ims/000153.jpg,30,35,619,350,1,1
car_ims/000154.jpg,29,75,271,168,2,0
car_ims/000155.jpg,13,35,250,153,2,0
car_ims/000156.jpg,10,24,254,158,2,0
car_ims/000157.jpg,10,86,614,383,2,0
car_ims/000158.jpg,36,116,868,587,2,0
car_ims/000159.jpg,57,236,881,569,2,0
car_ims/000160.jpg,147,125,471,426,2,0
car_ims/000161.jpg,18,84,478,307,2,0
car_ims/000162.jpg,47,100,605,371,2,0
car_ims/000163.jpg,131,124,537,329,2,0
car_ims/000164.jpg,33,115,576,346,2,0
car_ims/000165.jpg,108,201,706,429,2,0
car_ims/000166.jpg,48,41,511,237,2,0
car_ims/000167.jpg,83,93,686,425,2,0
car_ims/000168.jpg,37,77,582,342,2,0
car_ims/000169.jpg,25,55,277,150,2,0
car_ims/000170.jpg,13,115,787,440,2,0
car_ims/000171.jpg,55,95,563,320,2,0
car_ims/000172.jpg,52,46,487,247,2,0
car_ims/000173.jpg,60,91,588,373,2,0
car_ims/000174.jpg,8,80,250,184,2,0
car_ims/000175.jpg,47,154,598,369,2,0
car_ims/000176.jpg,26,49,477,288,2,0
car_ims/000177.jpg,189,174,800,542,2,0
car_ims/000178.jpg,147,202,1066,629,2,0
car_ims/000179.jpg,35,12,448,331,2,0
car_ims/000180.jpg,54,107,543,344,2,0
car_ims/000181.jpg,1,66,619,339,2,0
car_ims/000182.jpg,178,424,1828,1090,2,0
car_ims/000183.jpg,14,84,627,398,2,0
car_ims/000184.jpg,3,47,296,183,2,0
car_ims/000185.jpg,28,34,297,182,2,0
car_ims/000186.jpg,79,84,528,327,2,0
car_ims/000187.jpg,15,14,278,171,2,0
car_ims/000188.jpg,22,101,380,235,2,0
car_ims/000189.jpg,1,1,1484,900,2,0
car_ims/000190.jpg,51,57,590,402,2,0
car_ims/000191.jpg,71,192,594,465,2,0
car_ims/000192.jpg,283,298,1405,979,2,0
car_ims/000193.jpg,15,9,468,408,2,0
car_ims/000194.jpg,373,56,2663,1915,2,0
car_ims/000195.jpg,14,67,482,302,2,0
car_ims/000196.jpg,84,13,562,311,2,0
car_ims/000197.jpg,18,97,282,203,2,1
